no,content
46,운전경력 16년도 3개월도 둘다 네비게이션까막눈이라 너무 고생했음ㅋㅋ (질문이 2000개 그리고 의심2000개) 두시간반 정도 걸려서 대구 도차꾸 대구노보텔앰베서더 대구...
47,서대구에 도착!! 도착하니 9시 정도 되었습니다. 저의 여행의 시작과 끝은 맛집... #대구여행 #대구근대화거리 #대구돼지국밥 #대구대동면옥 #대구관문시장
48,"https://www.airbnb.co.kr/c/hyoyeongl5?currency=KRW 첫 여행에서 \44,000을 할인받으세요!... 먹고 대구 구경하기 위해 숙소를 다시 나서봅니다 *_* #대구여행 #대구에어비앤비"
49,"과수원 일을 마무리하면서 또 한 번의 당일치기 대구여행을 다녀왔습니다. 딱히 대구에 연고가 있는 것은 아닌데, 일하며 틀어놓은 라디오에서 대구 FC가..."
50,대구여행-역사탐방-김광석 거리-야경 #대구가볼만한곳 대구 순종황제 어가길 순종화제 어가길 대한제국 2대 황제인 순종이 이토히로부미와 1909년 대구를 방문을...
51,"얼마만에 넷이 함께 하는 여행인지 :D 우린 9시반 버스를 타고 출발해 한시 십분... 그러고보니 밥 먹는것도 잊고 쇼핑 삼매경이었던터라, 대구여행 잠자고있던 식욕을..."
52,"문시장 야시장 베스트 그 유명한 서문시장 야시장 베스트 6 다아,ㅣㅣㅏㄴ아아아 그 유명하다는 #대구서문시장 에 드디어 저도 가봤답니다. 대구 정말 오래간만에 갔는데..."
53,외부 건물에서는 마치 과거로 시간 여행을 떠나온 느낌도 들었지만 카페 안쪽으로... 대구여행 오면 가장 많이 들리게 되는 대구 중구. 그중에 약령시도 한 곳인데요...
54,올해로 12회를 맞이하는 아시아 유일의 대구 국제바디페인팅페스티벌은 지난 24일... 복잡한 1박 2일 여행 코스를 잡고 대구여행을 떠나는 게 아닌 가족들과 축제를...
55,좋은 여행지 회무침 브런치ㅎㅎㅎ 대구에는 3대 먹자골목이 있는데 난 이번 여행에... 걱정했는데 날씨도 좋았구ㅎㅎㅎㅎ 여러모로 만족~~ 2019.06 1박 2일 대구 여행기 끄읕
56,선포하였습니다^^ 대구 가을여행 명소! 송해공원 들어오는 바로 입구부터 가을향이 넘실대는 국화꽃이 활짝 피어있습니다. 송해공원에 도착하니 국화꽃 내음이 진동!...
57,무엇보다도 대중교통이 발달되면서 대구여행을 계획하시는 분들의 여행코스이기도 한대요. 대중교통의 중심 대구도시철도공사 지하철을 이용해서 이동이 용이하기...
58,하고 #동대구터미널 도착! 생각해보니까 24시간도 채 안있었던 대구 여행이었지만... 누리고 온 여행이었다(흐뭇) 다음에는 유지니가 거절하더라도 더 오래 있다 와야지-
59,"오랜만에 대구를 찾았다. 다음날 대구에서 시디뉘 모임이 있기 때문인데, 대구를... 연말에 중국으로 여행 가려고 하는데, 빨리 가고 싶다. 레트로2_문화장 목욕탕에서..."
60,ㅋㅋㅋㅋㅋㅋㅋ 너무 기승전 짜다고 하나ㅜㅜ 대구 핫태핫태 그런곳 놀러 가고 싶었는데 유부녀라서 그런곳 못가고 매우 건전한 대구 여행이였다ㅋㅋ 내가 좋아하는...
61,함께 대구 서문시장 먹거리 여행 떠나보실까요?^^ 젊은 사람부터 나이 든 사람까지... 하는 생각이 저절로 들더라구요^^ 대구 여행 코스 서문시장 구경도 하고 쇼핑도...
62,"추석, 대구 여행 #발길닿는대로여행 #분위기와먹거리를한번에 #대구편 풍성한 한가위를 더욱 풍성하게! 선물세트 챙기고 나혼자만의 여행하러 출발. 이번 추석 연휴기간..."
63,"그럼, 미리보는 대구가을여행! 달성군 논공삼거리로 함께 가보시죠! 달성군 논공삼거리 코스모스단지에 도착! 낙동강 둔치에 코스모스단지를 조성하여 관광객과..."
64,"발길이 닿는 곳으로 #대구여행 시작되었어요. ㅋㅋㅋ 의도치 않은 1박2일의 여행이라 행세는 꼬질꼬질해졌지만, #대구 까지 내려온 이상 먹방 또 시작해야죠...."
65,프롤로그대구 여행 1박2일 먹방투어 빡시게먹었다입니다 한달전쯤에 대구를... 장거리 여행가기에는 정말 좋은거 같아요 시간이 촉박하지 않다면 ktx보단 고속버스...
66,8월 : 갑자기 분위기 대구 여행 'Osteria mills / 성당못빌 / 오르다 /The westin Daegu... 이상 행복했던 대구 당일치기 여행 끄읕 대구 또 가야디~~~~~ 담엔 꼭 자구와야딩
67,"바로 대구여행명소라 불리고, 우리나라 최초의 피아노 유입지 사문진 나루터인데요. 한여름밤의 사문진나루터가 얼마나 아름다운지 함께 만나보시죠! 대구에서는..."
68,#대구사진관 #대구가족사진 #대구우정사진 #대구커플사진 #대구반려견사진 #대구만삭사진 #김광석거리데이트 #대구여행 #대구데이트코스 https://www.instagram.com...
69,"나섰습니다, 대구에 오면 꼭 한번 보고싶었던 강정보의 디아크, 와우, 디자인 정말 멋지네요, 시원한 가을 강바람이 조금 쌀쌀하게 느껴지네요, 아들하고는 매주 여행을..."
70,갑자기 대구여행. 아들따라 비슬산에 가본 적은 있지만.. 이짝은 처음. 태풍타파가... 역시 넘나 친절한 매장아가씨 감사해요 싸움구경이 많았던 여행이라 대구분들...
71,"먹방으로 시작해서 먹방으로 끝나는 대구 여행 대구를 떠나기 전, 배는 별로 안 고팠지만 대구에서 꼭 먹어보고 싶었던 만두 맛집으로 유명한 동성로 맛집 '태산만두..."
72,으니까용? ㅋㅋㅋ #대구여행 #대구맛집 #동성로맛집 #동성로카페 #반월당맛집 #반월당카페 #대구현지인추천맛집 #대구현지인추천카페 #대구오면가볼만한곳 #대구먹거리
73,대구여행 시작은 점심 #만복이네쭈꾸미낙지볶음 본점 #낙지볶음 이집은 낙지를 다들 드시더라구요ㅋㅋㅋㅋ 저희도 낙지를 시켰어요 낙지가 야들야들하고 왕커요...
74,"독서의 계절, 가을에 떠나는 낭만적인 문학 여행! 대구의 다양한 관광 명소에서 문학작품의 정취와 가을의 낭만을 모두 즐겨보세요! 문학 따라 대구 여행을 떠나기 전에..."
75,나의 첫 대구여행 기록하기. 2017년 6월 대프리카 체험하러 대구로 ㄱㄱ 금욜... 이렇게 2박 3일 첫 대구 먹방 여행 끝!! 대구는 생각보다(서울보다) 안더웠으며 음식도 너무...
76,글입니다 #대구여행#달성군여행#대구광역시관광#달성군관광#달성군청#대구광역시청#대구시청#공공팸투어#대구시신청사#달성군화원#도동서원#마비정#사문진나루터...
77,[대구여행] 물 찬 대구 달성 송해공원???.. 찍는 속도 보다.. 포스팅하는 속도가 느리다 보니.. 또 송해공원 등장???.. ㅎㅎㅎㅎ.. . 또 송해공원입니다.. . 송해공원은...
78,#대구여행 #대구가볼만한곳 #대구실내가볼만한곳 #대구아이와가볼만한곳 #대구실내여행 #대구볼거리 #아이와가볼만한곳 #아이와여행 애들은 왜 자꾸 나가자고 할까요?...
79,https://blog.naver.com/sora0821/221637237022 - 얼집 물놀이 & 씽크빅아트 - 대구 여행 (feat.... 어제는 대구 스파밸리 오늘은 대구 네이처파크 여기 좋다. 근데 오늘 엄마 생일이야...
80,대구 여행 필수코스로 자리잡은 이월드!!! 8월 31일부터 가을 꽃 축제가... 수있을거에요 대구에서 코스모스를 볼려면 하중도 까지 가야하는데 ㅠ 이월드에도 이렇게...
81,가볼만한곳#비슬산전기차#유가사#용연사#비슬산자연휴양림#아젤리아호텔#대프리카 #달성군여행 #달성여행 #대구광역시여행 #대구시여행 #대구여행 #달성군관광...
82,[대구여행] 배롱배롱배롱이 노래를 한다???.. 대구 달성 하목정.. 올 한해 수많은... 여행하며 사진 찍고 싶으니깐.. https://blog.naver.com/ilikeyujin/221535939913 [35번국도]...
83,">> 지난 달성군청 블로그 기자단 세미나 겸 단합대회 때 대구 여행지 중에 한 곳인... (달성군청 홈페이지 내용 발췌) 대구 힐링 여행지 대견사는 대견보궁, 선당, 요사채..."
84,땅을 치며 배달의 민족 소환 후회없이 배트지게 먹음 신나는 대구 가족여행 대구는 처음이었는데 경주만 주구장창 다니다가 이제 대구도 리스트업..!! 참고로 다음날...
85,[대구여행] 핑크바람이 불어오는 곳.. 대구 달성 논공 삼거리 핑크뮬리.. 겁나 피곤한 밤.. . 흉악범 허수아비 형제 등장. (입장료.. 주차료 없음.. 주차장 협소함..)...
86,어제도 아침 기온이 뚝 떨어진 새벽이지만 대기 질도 좋고 아름다운 대구의 사문진 주막촌의 풍경이 그리워 일찍 집을 나섰다. 길가는 온통 황금빛 들판과 아름다운...
87,이번여행의 픽은 이거다!! 대구에서 1박을 결정했을 때 가장 난감했던게 숙소잡기. 여자 혼자 잘건데 아무데서는 못자고 그렇다고 브랜드 호텔잡자니 트윈방이 너무...
88,아쉬웠던 여행이었습니다. 대구 카페 앙드뜨와 대구 -> 부산 일정으로 갔다면 달랐을까 싶기도 해요. 작년에 갔던 부산 - 경주보다 부산 - 대구 여행이 더 임팩트 있었던...
89,대구의 낭만이 넘치는 테마파크 '이월드' 대구광역시 달서구 두류공원로 200 평일 : 10:00~21:30 주말 : 10:00~22:00 대구에 처음 여행을 가신다면! 낭만이 넘치는 대구의...
90,돼지숑이랑 대구여행 #대구여행 #대구당일치 #대구여행일정 #대구 #대구맛집 #김광석다시그리기길 #국내가을여행 #대구향촌문화관 대구 당일치기 여행 일정 12시...
91,"안녕하세요 여행하는 나우쮸입니다 :) 오늘은 대구 여행 갔을때, #대구삼덕동맛집 갔던 포스팅을 해볼게요. 아소코라는 곳인데요. 원래 이곳을 가려고 했던건 아니고..."
92,"멤버들의 대구여행이었다. 동대구역 돌이켜보면 우리 모임은 매번 컨셉이 있었다. 출사를 하고 나서 술을 마시거나, 공부를 한 후 술을 마셨다. 천안여행을 한 후 술을..."
93,받으니 여행은 5천원으로 하는 격 대구는 작년 이맘때즈음 김광석거리를 다녀왔는데 오늘 버스투어에서는 서문시장외에 청라언덕 에 김광석거리까지 여러모로...
94,#대구여행 #대구가볼만한곳 #대구실내가볼만한곳 #대구아이와가볼만한곳 #대구실내여행 #대구볼거리 #아이와가볼만한곳 #아이와여행 부산 기장 국립과학관에서 꽤...
95,맛있당 #동대구역 근처에 있는 #백금당 카페에 수플레팬케이크 판다해서 가봤당... 대구여행을 몇 번 다녀온터라 대구여행은 어디 가는 것보다 먹부림 여행을 다녀오는게...
96,대구여행 | 어디로 갈까요? 대구에서 토요일 저녁시간을 맞은 일행이 찾아 간곳은 김광석거리~ 사람들이 북적이고 김광석 노래를 따라 부르는 사람들이 많은 곳^^ 옛...
97,히맹 만나러 갔었던 대구. 5천? 6천? 짜리 불고기로 혼점! 칠성시장역 #단골식당 이것이 머구름이다! 이번 여행도 에어비앤비로.. 멋진 소품이 많았던 곳. 방도 마음에...
98,대구에서 결혼식이 있어 내려 갔다가 오후에 팔공산 자락에 사시는 시누이집으로 가다가 들렸던 불로고분군 블로고분군은 아양교를 지나 불로시장이 있는 곳에...
99,1박2일 대구여행 정말 무계획 여행이었는데 (사실 나들이에 가까움) 그 중 유일한... 대구에서 느낀 올해 첫 여름 맑고 쨍하고 푸르른 날씨가 딱 내가 상상하던 대구!...
100,주말에 남자친구 친구 결혼식있어서 대구로 슝~ 1박 2일 가는데도 짐많은 붕어씨 아침부터 부랴부랴 준비 ㅋㅋㅋㅋㅋ가즈아 대구로 퀸벨호텔 도착 ㅎㅎ...
101,(참고로 2018년 여행임) 이제 집으로 돌아갈 시간.. 인데 늦은 저녁 기차라서 저녁을... 집 대구여행 준비하는 사람이라면 말 안해줘도 대충 알듯 집에 가기 전에 한 번...
102,"대구여행 1박2일 코스 프롤로그 , 너무 알찼던 여행이야 1달여가 지난 대구여행기이... 동대구에서 친구를 만나기로 함. 평일여행가는 내 인생 , 참 아름다워..."
103,추천해요<U+2763> #대구여행 #대구가볼만한곳 #스파밸리워터파크 #대구서문시장야시장 #대구야시장 #대구워터파크 #대구네이처파크 #대구 #국내여행
104,#대구근대골목카페 #대구여행 #샌프란시스코 당일치기 대구 가족여행 대구근대골목을 거닐다 좀 쉴겸 근처 카페를 찾았다 샌프란시스코 카페 바로 옆 주차장 있고...
105,후기입니다” #낙동강레포츠센터#낙동강#카약#모타보트#수상레포츠#달성군가볼만한곳 #달성군여행 #달성여행 #대구광역시여행 #대구시여행 #대구여행 #달성군관광...
106,#대구여행 때 다녀온 #대구83타워 입니다. 너무 더워서 다른 곳은 엄두가 안나고 ㅎㅎㅎ 더위를 피해 찾아간 곳이에요. 너무 더워서 밖에서 찍을 순 없어서 차 안에서...
107,"유명한바다도, 유명한산도 없지만 요즘엔 여행지로 주목받고있는 대구!! #김광석거리#봉리단길#대구여행 유난히 예쁜카페도많고 맛집이 많아서 소문이 난것같아요..."
108,대구광역시여행 #대구시여행 #대구여행 #달성군관광 #달성관광 #대구광역시관광 #대구관광 #대구시관광 #달성군 #달성군청 #대구광역시청 #대구광역시청사...
109,글입니다” #대구여행#대구시달성군여행#대구관광#대구시달성군관광#현풍백년도깨비시장#대구의미래#달성꽃피다#달성군문화관광#달성군청#소구레국밥...
110,대구여행으로 마비정 벽화마을은 남평문씨 본리세거지와 함께 꼭 여행코스로... 있어 대구뿐만 아니라 전국에서 유명한 명소가 된 대구여행 코스입니다. 마을길로...
111,"대구 여행 오면 어디서 대구 숙박해야 편할까 고민 많이 하시죠? 대구하면 떠오르는 명소인 서문시장, 동성로 그리고 달성공원과 가까운 호텔야자 서문시장점을..."
112,"50년대 대구까지 만날 수 있어.,,, 대구여행으로 짱이었지요~~ 스탬프도 찍을 수... 시간여행 하는 기분이었지요..., (1990년에 8부작 드라마로 방영되어 화제를..."
113,"남겨주세요 [대구여행] 대구교육박물관 관람기, 그 시작은 팔공산가볼까?였는데..... 발길닿는대로 여행이라, 여기가 어딜까? 궁금해하던 찰나였는데, 놀이터 근처에서..."
114,"느낄 수 있는 공간 부모님, 친구, 연인과 함께 걷기좋은 데이트코스로 추천해요. 김광석 길 #비슬산자연휴양림 #대구여행 #김광석거리 #김광석길 #대구가볼만한곳 #대구"
115,추천해용! +.+ 다음에 언제가 될진 모르지만 가게되면 또 갈게요! #대구사진관 #대구여행 #대구여행추천 #대구사진관추천 #대구스튜디오 #꽃길스튜디오 #꽃길사진관
116,올해들어 대구여행자클럽이 평일에 상품을 간간이 만들어주셔서 단풍여행을 같이... 다음주 대구 수목원 국화 전시회로 만족하고 멀리 여행은.....몸 생각해서 자제를...
117,잡으시면 재미날거에욥ㅎㅎ 저는 연간회원권있어서 담달에 또 갈건데 더 재미난 리뷰와 정보 가져올게요~~ #대구여행 #대구여행코스 #이월드 #대구이월드 #이월드수국축제
118,지금부터 제가 직접 다녀온 대구 여행을 소개해보려고 해요 ! 팔공산 여행의 첫 시작은 대구에서 가장 유명한 산인 #팔공산 에서 시작했어요. 케이블카를 타는 곳 까지는...
119,대구 가볼만한 곳 향촌문학관 매주 월요일 휴관 관람시간 9시부터 6시(동절기) 7시(하절기) 관람요금은 천원 입니다 #대구여행 그때 그 모습 그대로 재현해 놓은 공간...
120,바로 대구로 넘어가 잠깐이라도 여행을 하면 좋겠다고 생각했다! 마침... (기차 안에서 뻗었다고...ㅎㅎ) 번 돈보다 더 많이 쓰고 온 ㅋㅋㅋㅋ 1박 2일 대구여행 끝★
121,대구여행 벌써 다녀온지 얼마나 지났지..... 현충일이 있던 그즈음 샌드위치 휴일에 쉬었다. 연가내고 대구 1박2일 여행 다녀왔따 대구 도착하자마자 갔던 걸리버막창...
122,대구맛집 투어@ 수성못카페 포켓 대구 먹방여행을 위해 든든한 지원군이... 사진 올리면서 대구여행 또 가고 싶네! 그리고 현지인들이 이 날씨(한파)에 절대 가지...
123,다녀왔던 대구여행 일기 실상 혼자가 아니지만요? 일단 퇴근하구 택시를 잡아타구 버스 놓칠까봐 부랴부랴 무튼 대구행 버스에 실렸고 대구막창 먹을때까지...
124,대구여행 달성하목정 _ 배롱나무가 아름다운 조선시대 누각 달성하목정은 친구가 배롱나무가 예쁘게 피어 있는 고택이라고 알려준 곳입니다. 여태 대구에 이런 곳이 있....
125,대구 가을 단풍 여행 풍경 사진... 행복하고 즐거운 가을단풍여행 되시길.. 10월말 가까이 되면 뒷산의 나무들도 붉게 물들어야 하는데 기상이변은 이변인 모양......
126,"온 대구여행 날도 좋고 맛있는 음식도 잔뜩 먹고 온 만족스러운 여행이였다. # 대봉동, 홀그레인 / Whole Grain 대구 도착하자마자 숙소에 짐 던지고 제일 먼저 달려온 곳..."
127,3번째 대구여행 출발! 대팍 생긴 뒤 첨 가는거라 두근두근 승리버스 타고 오지게 자다보니까 어느새 도착 대팍 뷰 대박... 들어가자마자 기분 넘 좋았다ㅜㅠ 대구사람들...
128,아이와 대구 여행 아이와 기차 여행 대구신세계백화점 아이랑 대구신세계백화점 대구에서 비행기타고 다낭 가기 위한 대구 나들이 ktx타고 동대구역에서 내리면 바로...
129,ㅋㅋㅋ 배터질뻔 대구인심인것인가 떡볶이나 닭똥집 둘다 대구 맛집이니 꼭 가보세영 #대구여행 #대구맛집 #대구떡볶이 #대구닭똥집골목 #대구평화시장 #대구황제떡볶이
130,비로소....대구 공식 맛 여행이 시작 되었습니다... 아시겠지만.... 복불고기는... 짧고 간단했던 대구 여행을 마무리 했습니다. 다음에는 정말 시간을 좀넉넉하게 잡아서...
131,"요즘 좀 예민한데 ㅋㅋ 그래도 대구 여행 으로 이월드까지 오다니!!! 대구 핫플 맞죠?? 좀비대탈출 구경하러 열심히 올라가는데, 마침 시작되는 썸머 뮤직 불꽃축제...."
132,제목은 거창한 당일치기 대구여행이라지만 우리가 방문한 곳은 동대구역에 있는... SRT 좋구나 이런여행도 비많이 올까 걱정했는데 다행이 보슬비라서 당일치기 끄읕~~~
133,"좋고 대구 여행, 달성군 관광지 송해공원 놓치지 마세요~! 위치_ 대구광역시 달성군 옥포읍 기세리 306 쉬는 날_ 연중무휴 문의 및 안내_ 053-668-3763 입장료_ 무료 “상기..."
134,ㅜㅜ 만나면 재미 보장 된 친구들이랑 재밌던 1박 2일~ 끝! #대구 #대구여행 #대구맛집 #삼송빵집 #마약옥수수빵 #걸리머막창 #닭한끼 #김광석거리 #갈대밭 #가을여행 #우정
135,이번 대구여행에서 머물렀던 리버틴호텔 정말 깔끔하고 조식 맛있고 주변도... 포스팅 할꺼예요~~~ 진짜 대구여행객들을 위한 호텔이군요 외국인들도 많이 머물다 가네요
136,"대구 가볼만한곳｜낙동강 생태탐방로와 사문진나루터 주말 나들이 청명한 가을하늘이 여행자들의 마음을 일렁이게 하는 요즘, 어디로든 떠나기 좋은 날씨입니다...."
137,#대구여행 #도시여행 #팔공산 #방짜유기박물관 #대구방짜유기박물관 #이가네더덕밥 #대구맛집 #동촌유원지카페 #팔공산여행 ■대구 방짜 유기 박물관■ 폭염인 지금...
